gene,category,n,mean,sd,sem,ci95_l,ci95_u,min,max,q25,q75,iqr
C7H1orf74,ht,7,133.233580484992,62.4361340123648,23.598640488717,86.9810950429977,179.486065926985,73.4382692444497,221.811940257403,81.9524731438043,175.300569979948,93.3480968361441
CACNA1S,tumour,14,0.0650174408695097,0.0718615966658204,0.0192058195707169,0.0273747262173301,0.102660155521689,0,0.187643210471197,0,0.115618045131515,0.115618045131515
CACNA1S,host,14,0,0,0,0,0,0,0,0,0,0
CACNA1S,ht,2,0,0,0,0,0,0,0,0,0,0
CAMSAP2,tumour,14,66.0778077746723,19.5946692975422,5.23689565132437,55.8136809072822,76.3419346420625,39.5330958460689,101.768830544235,48.8321515653241,80.2689785692656,31.4368270039415
CAMSAP2,host,3,114.382530986244,63.6952093820779,36.7744462828322,42.3059407204897,186.459121251998,41.3031767078157,158.108005361168,92.5197937987818,150.922208125458,58.402414326676
CAMSAP2,ht,2,38.7053076669617,14.6951827096618,10.3910633447772,18.3391977501241,59.0714175837992,28.3142443221845,49.0963710117388,33.5097759945731,43.9008393393503,10.3910633447772
CD55,tumour,14,0.0147348052256119,0.055132592815086,0.0147348052256119,-0.0141448823358,0.0436144927870238,0,0.206287273158567,0,0,0
CD55,host,14,26.1039923322457,29.7180892713906,7.94249344593615,10.5369912307654,41.6709934337259,0,111.376586878516,5.9660442373661,34.203554923592,28.2375106862259
CD55,ht,7,6.30682907920467,7.91800858140773,2.99272594075431,0.441194019727466,12.1724641386819,0.825149092634266,22.8055131896815,1.57744304461803,6.95758052050404,5.38013747588601
CFHR5,tumour,14,0,0,0,0,0,0,0,0,0,0
CFHR5,host,5,0,0,0,0,0,0,0,0,0,0
CFHR5,ht,5,0,0,0,0,0,0,0,0,0,0
CHI3L1,tumour,14,0.0388360980694948,0.0995293915815746,0.0266003488008796,-0.0132996275564325,0.0909718236954221,0,0.304155365459363,0,0,0
CHI3L1,host,7,23.5976355846538,29.2106543729881,11.0405895863411,1.95847762733721,45.2367935419703,3.83297095705994,76.832827694154,4.48574473008772,32.6578214936145,28.1720767635268
CHI3L1,ht,8,0.059887501878391,0.169387434746129,0.059887501878391,-0.0574898449273301,0.177264848684112,0,0.479100015027128,0,0,0
CITED2,tumour,14,264.849513417537,185.227168610103,49.5040431186581,167.823371815849,361.875655019225,59.9387405398529,778.862381131109,153.200483506977,324.329469344787,171.12898583781
CITED2,host,12,33.4851964738456,73.3916952381314,21.1863575010091,-8.03930119172212,75.0096941394134,0,259.758551226643,1.86051022492606,17.9462924270961,16.08578220217
CITED2,ht,3,8.25487618137097,5.07463010366377,2.92983905638806,2.51249715035156,13.9972552123904,2.52059023019776,12.1662146183745,6.2992069628692,11.1220191569576,4.82281219408838
CRB1,tumour,14,0.0568394545733252,0.0908942045385614,0.0242924979876178,0.0092270334230825,0.104451875723568,0,0.32335263194248,0,0.0953806170248045,0.0953806170248045
CRB1,host,11,0.0178801630769765,0.0593017921166975,0.0178801630769765,-0.0171643125916003,0.0529246387455532,0,0.196681793846741,0,0,0
CRB1,ht,4,0,0,0,0,0,0,0,0,0,0
CSRP1,tumour,14,0.69643223921433,0.976680725820883,0.261028903734817,0.184824988970115,1.20803948945854,0,3.36078697359702,0.0286301809532404,0.584153427465979,0.555523246512739
CSRP1,host,10,403.631888326055,479.555903529444,151.648892053302,106.405521606181,700.85825504593,0,1505.16387051898,44.5173824528323,472.186684155461,427.669301702629
CSRP1,ht,3,0,0,0,0,0,0,0,0,0,0
CYB5R1,tumour,14,3.75143151887407,13.8992633029925,3.71473437202556,-3.52931406242905,11.0321771001772,0,52.0409412492098,0,0,0
CYB5R1,host,4,0.229462092821198,0.458924185642396,0.229462092821198,-0.220275344925537,0.679199530567933,0,0.917848371284793,0,0.229462092821198,0.229462092821198
CYB5R1,ht,2,87.6615024338898,1.44369667276962,1.02084770729186,85.6606776938975,89.6623271738821,86.6406547265979,88.6823501411817,87.1510785802439,88.1719262875357,1.02084770729185
DDX59,tumour,14,27.8864625384468,14.2924986536816,3.81983094021459,20.3997314685945,35.3731936082992,0,57.4188224041861,21.1541017292517,34.027848470461,12.8737467412093
DDX59,host,9,5.37360850840026,3.58164087748502,1.19388029249501,3.0336461332579,7.71357088354262,2.14807233133875,12.5068932072088,2.31545518640119,7.62362111275544,5.30816592635425
DDX59,ht,1,1.91640006010851,,,,,1.91640006010851,1.91640006010851,1.91640006010851,1.91640006010851,0
DENND1B,tumour,14,117.312916433433,62.8137579937973,16.7876829706087,84.4096624271639,150.216170439703,60.1187367576903,304.073509195753,74.9290605514728,135.460445245435,60.5313846939621
DENND1B,host,12,4.42449375096585,11.2093694069873,3.23586622228504,-1.91768750350251,10.7666750054342,0,38.5496315939613,0,0.930255112463031,0.930255112463031
DENND1B,ht,8,252.103160406021,109.772998775143,38.8106159125431,176.035750999619,328.170569812422,137.478225187632,491.515094888564,198.872887334722,281.978503661818,83.1056163270958
DTL,tumour,14,95.2685618240032,68.9772854885604,18.4349549834205,59.1367139998819,131.400409648125,44.406683357067,310.662745871874,58.8280584100183,96.2681463364457,37.4400879264275
DTL,host,5,4.82774985422652,5.41863681948514,2.42328805475041,0.0781925427496004,9.57730716570344,0,13.0206592650373,0,6.7076991748549,6.7076991748549
DTL,ht,7,75.2905290781924,59.7633184376619,22.5884111585735,31.0180567394057,119.563001416979,32.1808146127364,194.991136560433,34.0444599226184,93.080903074789,59.0364431521706
DYRK3,tumour,14,35.1091873806022,12.332715929323,3.296056975424,28.6490344177791,41.5693403434253,20.2715672797169,59.4701757437285,25.6548184535198,38.5090721529787,12.8542536994589
DYRK3,host,14,56.9656485141919,83.1821584195373,22.2313669641616,13.3929699373417,100.538327091042,0,273.666158276178,1.0535946650206,83.8212292536894,82.7676345886688
DYRK3,ht,2,46.8898407634859,37.0626850279566,26.2072759122492,-4.47547615742663,98.2551576843985,20.6825648512367,73.0971166757352,33.7862028073613,59.9934787196105,26.2072759122492
ECT2L,tumour,14,3.22132562461823,2.01784747794202,0.539292422944638,2.1643318985114,4.27831935072507,0,7.56177069059329,1.86394235514835,4.7478544555162,2.88391210036785
ECT2L,host,13,0.179702153763922,0.301388592097167,0.083590155588172,0.0158684593490054,0.343535848178839,0,0.958242739264986,0,0.275649426952522,0.275649426952522
ECT2L,ht,6,0.217374851276899,0.354089506669775,0.144556435769128,-0.06595055656407,0.500700259117868,0,0.825149092634266,0,0.359325011270346,0.359325011270346
ENSCAFG00000000291,tumour,0,,,,,,Inf,-Inf,,,
ENSCAFG00000000291,host,8,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000000291,ht,8,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000010570,tumour,14,7.10760100099524,4.51801666836235,1.20749074576755,4.74096262762542,9.47423937436506,0,15.4036612193016,4.6693330196631,9.11909112225054,4.44975810258744
ENSCAFG00000010570,host,13,1.24428179890658,1.83171309772594,0.50802580736845,0.248569513247538,2.23999408456563,0,6.8539438079087,0.254120703758515,1.37677255692719,1.12265185316867
ENSCAFG00000010570,ht,7,8.73345442101268,6.07877144239496,2.29755964476835,4.23032026493407,13.2365885770913,0,17.0953927983001,4.55852888701287,12.880036234863,8.32150734785012
ENSCAFG00000011630,tumour,14,3.18150349605133,2.07890096282709,0.555609653138102,2.09252858643786,4.2704784056648,0,7.82530024544309,2.12057596160128,3.65856346371513,1.53798750211385
ENSCAFG00000011630,host,13,6.82921470296979,6.66387192427426,1.84822553200736,3.20675922492797,10.4516701810116,0,18.3766284635015,1.27060351879257,11.4989128711798,10.2283093523873
ENSCAFG00000011630,ht,6,4.17412424088558,3.21497819580662,1.31250935231665,1.60165318097296,6.7465953007982,0,7.94010351769868,1.86787119650084,6.70594004019183,4.83806884369099
ENSCAFG00000012296,tumour,0,,,,,,Inf,-Inf,,,
ENSCAFG00000012296,host,4,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000012296,ht,2,1.21662146183745,1.72056257160471,1.21662146183745,-1.16791278618243,3.60115570985733,0,2.43324292367491,0.608310730918727,1.82493219275618,1.21662146183745
ENSCAFG00000029682,tumour,12,0.441704889451549,0.476618346558219,0.137587865343051,0.172037628669423,0.711372150233676,0,1.21662146183745,0,0.823668673249168,0.823668673249168
ENSCAFG00000029682,host,9,0.136743729076327,0.313665080944809,0.104555026981603,-0.0681803582102281,0.341667816362882,0,0.93004709035981,0,0,0
ENSCAFG00000029682,ht,2,0.534231024946877,0.755516760920353,0.534231024946877,-0.512842543372921,1.58130459326668,0,1.06846204989375,0.267115512473439,0.801346537420316,0.534231024946877
ENSCAFG00000032627,tumour,13,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000032627,host,7,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000032627,ht,3,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000042607,tumour,5,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000042607,host,6,1.22324659253057,1.89785539752389,0.774796221586744,-0.295326097137168,2.7418192821983,0,3.83297095705994,0,2.62988144859259,2.62988144859259
ENSCAFG00000042607,ht,2,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000043167,tumour,14,0.338580454492392,0.418835421186131,0.111938474823119,0.119185075354736,0.557975833630049,0,1.31195650208092,0,0.526108323873363,0.526108323873363
ENSCAFG00000043167,host,12,2.29911584818677,4.50193856796712,1.29959772204549,-0.24804888141268,4.84628057778622,0,12.4034014995071,0,1.34349068119173,1.34349068119173
ENSCAFG00000043167,ht,7,0.325077986869262,0.421486197075577,0.159306808358334,0.0128423799949036,0.637313593743621,0,0.916165790503694,0,0.679690058790572,0.679690058790572
ENSCAFG00000045372,tumour,14,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000045372,host,12,0.0974030166145403,0.337413947173719,0.0974030166145403,-0.0935033879355151,0.288309421164596,0,1.16883619937448,0,0,0
ENSCAFG00000045372,ht,3,0,0,0,0,0,0,0,0,0,0
ENSCAFG00000046356,tumour,14,0.0426866496422485,0.0651391010195673,0.0174091570355484,0.00856532885137153,0.0768079704331255,0,0.183233158100739,0,0.079910954966904,0.079910954966904
ENSCAFG00000046356,host,12,18.5037068123918,22.9876205061801,6.63595444363603,5.4974750998167,31.509938524967,0,82.5752972645573,7.56204484617497,15.3793765348492,7.81733168867428
ENSCAFG00000046356,ht,7,0.0456285728597264,0.120721856465627,0.0456285728597264,-0.0438017866112991,0.135058932330752,0,0.319400010018085,0,0,0
ERO1A,tumour,14,214.82445877073,56.8859206590312,15.2034018026643,185.026338795016,244.622578746443,148.889415733045,355.613271643735,177.032365415716,243.326852924427,66.2944875087114
ERO1A,host,5,80.6889920726409,70.2457177153778,31.4148399879692,19.1170371161326,142.260947029149,25.4975719931083,187.815576895937,33.2951211357506,116.883619937448,83.5884988016977
ERO1A,ht,8,395.079922093744,200.659982166964,70.944017051516,256.032203754177,534.127640433311,182.444105517452,778.862381131109,249.153110072111,509.436564063758,260.283453991647
F13B,tumour,14,0,0,0,0,0,0,0,0,0,0
F13B,host,6,0,0,0,0,0,0,0,0,0,0
F13B,ht,8,0,0,0,0,0,0,0,0,0,0
FCAMR,tumour,14,0.00923067260348397,0.023830553826295,0.00636898341107647,-0.00325230550035896,0.0217136507073269,0,0.0752305510975568,0,0,0
FCAMR,host,12,0.0183766284635015,0.0636585083412019,0.0183766284635015,-0.017640901482235,0.054394158409238,0,0.220519541562018,0,0,0
FCAMR,ht,3,0,0,0,0,0,0,0,0,0,0
